text,label,source
뇌혈관질환 특약이 필요할까?,special_terms,manual
암 직접치료비 특약 설명해줘,special_terms,manual
수술비 특약이랑 입원비 특약 중 뭐가 더 나아?,special_terms,manual
3대 질병 특약이 어떤 거야?,special_terms,manual
재해 관련 특약 어떤 게 있어?,special_terms,manual
소득보상 특약 추가할만해?,special_terms,manual
특약 너무 많이 넣으면 어떤 문제가 있어?,special_terms,manual
기본계약이랑 특약 차이가 뭐야?,special_terms,manual
어린이보험 특약 뭐 넣어야 해?,special_terms,manual
치아 특약 추가 가능한 보험이 있어?,special_terms,manual
간병인 지원 특약 설명해줘,special_terms,manual
골절 특약 필요한 고객 유형이 어떻게 돼?,special_terms,manual
운전자 특약 추가했을 때 보장 범위가 어떻게 돼?,special_terms,manual
특약 중도 해지 가능해?,special_terms,manual
주계약 없이 특약만 가입 가능해?,special_terms,manual
납입면제 특약이 뭐야?,special_terms,manual
실손보험이 뭐야?,general_qa,manual
종신보험이랑 정기보험 차이가 뭐야?,general_qa,manual
보험 갱신형이 뭔지 설명해줘,general_qa,manual
면책기간이 뭐야?,general_qa,manual
보험료 납입면제 조건이 뭐야?,general_qa,manual
해지환급금이 뭐야?,general_qa,manual
보험 계약 이전이 뭐야?,general_qa,manual
보험 청약 철회 어떻게 해?,general_qa,manual
표준형이랑 실손형 차이가 뭐야?,general_qa,manual
보험사 지급여력비율이 뭐야?,general_qa,manual
예정이율이 뭐야?,general_qa,manual
순수보장형이랑 환급형 차이가 뭐야?,general_qa,manual
보험 계약 부활이 뭐야?,general_qa,manual
실손보험 자기부담금이 뭐야?,general_qa,manual
보험 고지의무가 뭐야?,general_qa,manual
갱신형 보험 갱신 거절 가능해?,general_qa,manual
보험금 청구할 때 필요한 서류가 뭐야?,general_qa,manual
중복보험 보장이 어떻게 돼?,general_qa,manual
암의 정의가 보험에서 어떻게 돼?,general_qa,manual
변액보험이 뭐야?,general_qa,manual
"제 아들이 곧 중학교에 입학할 예정인데, 이 시기부터 효과적으로 교육 비용을 대비하고 싶어요. 적합한 장기 자녀보험 상품은 무엇일까요?",recommendation,llm
55세 여성으로서 은퇴 후 안정적인 수입원을 찾고 계시는데요. 연금보험 중에서 현재의 재무 상태와 향후 목표에 가장 잘 맞는 상품 추천 부탁드립니다.,recommendation,llm
부모님께서 노후 생활을 편안하게 보내실 수 있도록 보장되면서도 예산 내에서 선택 가능한 노인실비보험 상품을 추천해 주실 수 있나요?,recommendation,llm
28세 직장인으로서 경력 초기이지만 직업상 위험 노출이 높습니다. 직무 특화된 의료급여 및 장애보험을 추천해 주세요.,recommendation,llm
"결혼한 지 얼마 안 된 커플로, 아이 계획이 있으신데 임신 및 출산 관련 위험에 대비할 수 있는 종합의료보험을 알아볼까요?",recommendation,llm
"35세 남성으로서 가족이 있으며, 미래에 발생할 수 있는 의료비 부담을 최소화하고자 합니다. 어떤 보험 상품이 최적인지 조언 부탁드립니다.",recommendation,llm
40대 초반의 부부가 현재 주택 마련 자금이 부족한 상황입니다. 주택담보대출 보험에 대해 추천해 주실 수 있을까요?,recommendation,llm
"직장을 그만두려는 중년 여성분으로서 새로운 삶의 방향성을 모색 중이신데요, 안정적인 개인연금 상품 추천 부탁드려요.",recommendation,llm
68세 어르신께서 최근 심장 질환 검사 결과 일시적인 문제가 있다고 진단받으셨습니다. 심장질환 전용 보험상품 추천 부탁드리겠습니다.,recommendation,llm
저와 아내가 함께 가입하면 더 많은 혜택을 받을 수 있는 가족종합보험을 찾아보고 싶습니다. 가능한 세부 사항과 추천 상품 알려주시겠어요?,recommendation,llm
"25세 젊은 직장인으로서 저축과 투자 사이에서 고민 중이라면, 투자 성과와 병행 가능한 보장형 보험 상품은 어떻게 선택해야 할까요?",recommendation,llm
"32세 청년 남성인데, 스포츠 활동이나 여행 중 사고 시 보상이 필요할 것 같아요. 그러한 경우에 특화된 교통상해보험 제안을 부탁드립니다.",recommendation,llm
중소기업 근무 중인데 직무특화 상해보험에 관심이 있습니다. 회사 정책 외에도 개인적으로 가입 가능한 옵션은 없을까요?,recommendation,llm
자녀가 곧 고등학교에 진학할 때 학업 스트레스와 관련된 정신건강 보험에 관심이 있어요. 이런 조건에 맞는 상품을 추천해 주실 수 있을까요?,recommendation,llm
"7년간의 직장 생활 끝으로 퇴직을 앞둔 50대 중반 남성분, 안정적인 퇴직 생활을 위해 연금 상품 추천 부탁드립니다.",recommendation,llm
42세 여성으로서 갑작스러운 질병으로 인해 생활비 지출이 늘어날까 봐 걱정입니다. 정기적인 병원 방문과 함께 생활비 지원 가능한 보험상품은 어떨까요?,recommendation,llm
60대 부모님께서 자주 방문하시는 치과 치료 비용을 대비하고자 합니다. 특히 치아보험의 종류와 추천 상품을 알려주실 수 있나요?,recommendation,llm
이혼 후 혼자 살면서 경제적 안정감을 유지하고 싶으십니다. 경제적 위험에 대비한 개별 여성 전용 보험 상품이 있다면 소개해 주실래요?,recommendation,llm
"1년 전 교통사고로 인해 장기 요양이 필요해진 동료의 상황을 보고 계시는데요, 재활 비용과 간병비를 지원할 수 있는 보험 상품을 추천해 주실 수 있을까요?",recommendation,llm
대학생 자녀의 학자금 대출 상환 부담을 줄이기 위해 적절한 보장과 금융 지원을 합친 보험 상품이 있을까요?,recommendation,llm
"자영업으로 운영 중인 사업주 분인데, 사업 실패나 중도 퇴직금 지급 시에 발생할 수 있는 재정적 위기에 대비하고자 합니다. 특별 보험 상품 추천 부탁드립니다.",recommendation,llm
"30대 후반으로, 건강검진과 주기적인 검진 비용을 저렴하게 관리하고자 하는데, 어떤 보험으로 접근하면 좋을까요?",recommendation,llm
"은퇴 후 여행 계획이 많으신데, 여행 중 발생할 수 있는 의료비와 응급상황을 커버하는 보험 상품을 알아볼 수 있을까요?",recommendation,llm
"가정주부이자 부모님 돌봄을 주로 담당하고 계신 여성분으로서, 가족의 건강 관리와 의료비를 고려한 보험 상품을 원합니다.",recommendation,llm
저의 동생이 최근부터 만성 질환에 대한 관리가 필요하여 장기적인 치료비 지원을 받을 수 있는 보험 상품을 알고 싶습니다.,recommendation,llm
"50대 중반의 자영업자로, 사업 확장과 함께 발생할 수 있는 자연재해로 인한 재산 손실 위험에 대비하고자 합니다. 보험 상품 추천 부탁드립니다.",recommendation,llm
"자녀교육비 상승에 대비해, 교육비 보증보험 상품으로 미리 준비하고 싶습니다. 구체적인 선택지를 알려주세요.",recommendation,llm
40대 부부가 자녀의 대학 등록금을 장기적으로 준비하고자 합니다. 교육 펀드 연계 보험 상품을 찾아볼까요?,recommendation,llm
"50대 남성으로서, 건강한 생활 습관을 유지하고 있으나 미래의 특정 질병 위험에 대비하고 싶습니다. 적합한 예방목적 보험상품은 뭔가요?",recommendation,llm
젊은 직장인으로서 개인 맞춤형 보험 설계를 통해 노후 대비와 동시에 현재와 미래의 생활 안전망 구축을 원해요. 어떻게 시작해야 할까요?,recommendation,llm
"은퇴 후의 건강 관리 비용을 효율적으로 관리하고자 하는데, 건강유지 보험에 대한 정보와 추천 상품을 부탁드립니다.",recommendation,llm
가족 구성원 중 한 분이 건강한 생활 습관 유지에도 불구하고 가족력에 따른 일부 질병 위험성이 있는 편이라 걱정이 됩니다. 관련 보험 상품 제안 부탁드립니다.,recommendation,llm
"자영업자이면서 사업장의 장비나 시설이 고장 날 경우 즉시 복구가 필요하다는 점을 고려해보았는데요, 이런 상황을 대비한 보험 상품이 있나요?",recommendation,llm
해외 체류가 잦은 가족을 둔 부모님께서 여행 중의 의료 서비스 이용에 대한 보험 필요성에 대해 언급하셨습니다. 이런 상황에 딱 맞는 보험 상품은 무엇일까요?,recommendation,llm
"최근 이사를 앞두었고, 부동산 가치 하락으로 인한 재정적 불안정성을 대비하고 싶습니다. 부동산 가치 보호 보험 상품을 찾아봤으면 좋겠습니다.",recommendation,llm
직장 내 건강검진 프로그램에 참여하고 있지만 추가적인 건강 모니터링 비용이 필요하신 분들을 위한 고급 건강 보험 상품을 추천해 주십시오.,recommendation,llm
"20대 후반으로, 미래 사회적 이슈 중 하나인 기후변화로 인한 자연재해 피해에 대비하고자 합니다. 이러한 상황에 특화된 보험 상품이 있을까요?",recommendation,llm
"건강검진을 자주 받아야 하는 직장인 남성분이라면, 주기적인 건강 체크와 그에 따른 잠재적 의료비를 효율적으로 관리할 수 있는 상품을 원하시네요.",recommendation,llm
"가족 구성원 중 한 명이 장애인으로 등록되어 있어, 장기적인 의료비 지원뿐만 아니라 사회적 지원도 함께 고려하고 싶습니다. 관련 보험 상품은?",recommendation,llm
"코로나 이후 원격근무 환경으로 변화했는데, 이에 따른 개인적인 디지털 보안과 비상 사태 대응을 위한 보험 상품을 찾아봅니다.",recommendation,llm
"60대 노부부의 경우, 장기노인요양보험의 장단점과 적합한 가입 사례를 자세히 알려주실 수 있을까요?",recommendation,llm
"자녀에게 장기적인 교육 기회를 제공하고자 하는데, 이를 위한 교육비 관리 보험 상품을 찾아봤으면 좋겠습니다.",recommendation,llm
가족 구성에 따라 변동 가능한 자녀 출생에 대비해 유연한 보험료 납입 플랜을 가진 생명보험 상품 추천 부탁드립니다.,recommendation,llm
"40대 중반 직장인으로서, 직장을 떠나 육아 또는 은퇴에 관심이 있어 향후 생활 시나리오에 맞춘 맞춤형 보험 상품을 원해요.",recommendation,llm
"최근 운전 패턴이 바뀌면서 차량 관련 손해에 대한 보다 엄격한 보장을 원하시는데, 이에 최적화된 자동차 보험 상품을 추천해 주실 수 있을까요?",recommendation,llm
"청소년 시절부터 시작된 흡연 이력이 있지만 현재 금연 중이며, 장기적인 건강 관리와 재발 방지를 위한 보험 상품이 궁금합니다.",recommendation,llm
"30대 중반 부모님께서 의료 서비스 이용 빈도 증가로 인한 의료비용 증가에 대비하고자 하는데, 이에 적합한 보장 범위 넓은 보험 상품은 무엇일까요?",recommendation,llm
"은퇴 후에 주거 형태를 변경(예: 공동주택 임대) 하려는 계획을 가지고 계신다면, 이런 생활 형태에 적합한 주택보험 상품을 소개해 주실 수 있을까요?",recommendation,llm
장기 입원 경험이 있으신 분들께서 향후 재발 방지를 위해 필요한 지속적인 의료 서비스에 대한 보장 범위 넓은 보험 상품을 찾아볼까요?,recommendation,llm
"50대 중반 직장인이지만 아직 자녀가 없어서, 가족의 미래를 대비하기 위해선 어떤 보험 상품들이 유용할지 궁금합니다.",recommendation,llm
"해외에서의 단기 체류가 많은 가족이 있다면, 국제이동 보험 상품의 특징과 장점을 공유해 주실 수 있을까요?",recommendation,llm
"직업 특성상 야외 활동이 빈번한 개인으로서, 야외 작업 중 발생할 수 있는 위험에 대한 보험 상품을 찾고 계시다네요. 해당 분야에 특화된 상품을 추천해 드리겠습니다.",recommendation,llm
직장 내 위험 요소에 노출되어 있어도 보험 가입에 대한 두려움을 가지,recommendation,llm
**수호천사** 생활보장보험에서 **기본 보험금 한도**는 얼마인가요?,product_info,llm
**우리금융**의 건강보험 중 **의료비 공제액**이 가장 낮은 상품은 무엇일까요?,product_info,llm
**엔젤** 연금저축보험의 연간 저축 가능 최대 금액은 얼마인가요?,product_info,llm
**실명확인**이 필요 없는 간편 가입형 실손보험의 주요 장점은 뭔가요?,product_info,llm
**가족맞춤** 종합보험에서 **질병 제외 항목** 몇 가지가 있나요?,product_info,llm
**스마트케어** 생명보험의 **사망 시 가족 생활비 지원 조건**은 어떻게 되나요?,product_info,llm
**웰빙케어** 암보험의 **진단 시점별 보험료 할인 혜택**은 어떻게 작동하나요?,product_info,llm
**안전운전** 자동차보험에서 **사고 유형별 보상 한도**는 어떻게 설정되어 있나요?,product_info,llm
**건강지킴이** 상해보험의 **장기 보장 기간 최대 연장 방법**은 무엇인가요?,product_info,llm
**라이프플래너** 장기 간병보험의 **간병 급여 일수 제한**이 있다면 알려주세요.,product_info,llm
**베스트라이프** 손해보험의 **운전자 유형별 보험료 차이**를 알려주세요.,product_info,llm
**글로벌 protec** 국제 여행보험에서 **특정 질병 보장 범위**가 어떻게 되나요?,product_info,llm
**생명지기** 종신보험의 **연금 전환 옵션이 가능한 경우와 조건**은 무엇인가요?,product_info,llm
**세이프존** 암보험의 **수술 종류별 보험금 지급률**은 어떻게 되나요?,product_info,llm
**피벗** 주택화재보험에서 **소방시설 설치 의무화 시 추가 혜택**은 무엇인가요?,product_info,llm
**라이프스타일** 보험의 **투자 연계 저축 플랜**의 핵심 특징은 뭔가요?,product_info,llm
**커뮤니티 가드** 개인정보 유출 시 보상 범위는 어떻게 정의되어 있나요?,product_info,llm
**심플보험**의 **자동 갱신 시 보험료 상승 폭 제한 사항**은 어떠한가요?,product_info,llm
**에코케어** 심장질환 특화 보험의 **진단 시기에 따른 보험료 조정 방식**은 무엇인가요?,product_info,llm
**원패스** 실손의료보험에서 **비급여 항목 처리 방법**은 어떻게 되나요?,product_info,llm
**프리랜서 보호** 특수 직종 대상 실손보험의 주요 혜택은 뭘까요?,product_info,llm
**디지털헬스케어** 라이프스타일 보험의 **데이터 보안 및 개인정보 관리 정책**은 어떻게 되나요?,product_info,llm
**스마트케어** 장기요양보험의 **요양 등급별 보험금 차등 적용 기준**은 무엇인가요?,product_info,llm
**하이퍼링크** 여행자보험에서 **특정 국가 여행 제한 조항**이 명시되어 있다면 알려주세요.,product_info,llm
**스마트워치** 연동 의료기기 보험의 **기술 지원 수준 및 유지보수 비용**은 어떻게 되나요?,product_info,llm
**에코액션** 주택 화재보험의 **소방시설 미설치 시 보험금 제외 조항**은 어떻게 되나요?,product_info,llm
**프리미엄 케어** 종합 실손보험에서 **일상생활 상해 보장 범위**는 구체적으로 어떤가요?,product_info,llm
**아이앤라이프** 저축성 생명보험의 **자산 증식 기능과 보험료 구성 요소**는 어떻게 인가요?,product_info,llm
**스마트헬스** 보장 보험에서 **건강 상태 평가 주기와 그 영향**은 어때요?,product_info,llm
**리미트메이트** 운전자 보험의 **사고 발생 후 신속한 지원 프로세스**는 어떤 특징이 있나요?,product_info,llm
**퍼스트가이드** 보험상담 서비스의 **온라인 채팅 기반 문의 절차와 응답 시간**은 어떨까요?,product_info,llm
**글로리아드림** 보험증권 작성 시 유의사항은 무엇인가요?,product_info,llm
**피오나** 해외 원정보험의 **여행 목적지별로 다른 보험 적용 규정**은 어떤가요?,product_info,llm
**글로벌 케어** 해외여행 중 응급 치료 보험금 보장 범위는 어떠한가요?,product_info,llm
**헬프타임** 긴급 상황 시 보험사 연락 절차와 대기 시간은 어떻게 되나요?,product_info,llm
**이지케어** 어린이 전용 생명보험의 **보장 연령과 보장 한도 설정 방법**은 어떻게 인가요?,product_info,llm
**스마트터치** 온라인 실시간 건강검진 프로그램의 보험 혜택은 어떤지 궁금합니다.,product_info,llm
**트랜스퍼** 상속보험에서 **상속 재산 가치 평가 기준**은 어떤 것들이 있나요?,product_info,llm
**이노베이션** 해외 여행보험의 **특정 국가 여행 시 추가 보험료 부과 기준**은 무엇인가요?,product_info,llm
**스마트터치** 앱 연동 의료기록 제출 시스템의 보안 강화 방안은 어떻게 되나요?,product_info,llm
**에코솔루션** 보험계약 해지 시 환급금 계산 방법은 어떻게 되나요?,product_info,llm
**비전가드** 장애인 대상 보험의 **지원 범위와 신청 절차**에 대해 설명 부탁드립니다.,product_info,llm
**프로젝트 매니저** 보험상품 개발 과정에서 고객 요구사항 반영 방식은 어떻게 이루어지나요?,product_info,llm
**라이브케어** 자녀 교육비 지원 보험의 **교육비 증빙 서류 요구 항목**은 어떤 것들이 있나요?,product_info,llm
**인사이드뷰** 보험회사 내부 교육 프로그램의 주요 내용은 무엇인가요?,product_info,llm
**글로벌 커넥션** 다자녀 가정 대상 보험 할인 혜택은 어떻게 제공되나요?,product_info,llm
**심플 솔루션** 보험 가입 후 **고객 맞춤형 보험 상품 추천 프로세스**는 어떻게 운영되나요?,product_info,llm
**멀티팩토리얼** 개인 맞춤형 보험 상담 시 활용 가능한 **전문가 네트워크 소개**는 어떠신가요?,product_info,llm
**스마트링크** 모바일 앱을 통한 실시간 보험 정보 업데이트 주기와 방식은 어떻게 되나요?,product_info,llm
**포괄적 케어** 보험 계약 갱신 시 변경 가능한 주요 조건은 어떤 것들이 있나요?,product_info,llm
**스마트터치** 보험 상담 서비스 이용 시 무료 통화 시간 및 서비스 이용 방법은 알려주세요?,product_info,llm
**유니버설 인사이트** 보험 시장 트렌드 분석 리포트 제공 일정과 내용은 어떻게 되나요?,product_info,llm
**디지털 파트너** 디지털 플랫폼을 통해 보험 상품 등록 방법과 편의성이 어떤가요?,product_info,llm
**퍼펙트 액션** 보험금 청구 시 **필요 서류 목록과 온라인 청구 절차**는 어떻게 되나요?,product_info,llm
**패밀리 솔루션** 가족 구성원 모두를 위한 보험 상품이 있나요? 어떤 것이 있는지 알려주세요?,product_info,llm
**뉴 웨이브** 미래 기술(AI 등)을 이용한 보험 서비스의 발전 방향은 어때요?,product_info,llm
**피어 리뷰** 경쟁사 보험 상품 비교 사이트 사용 경험과 유용성은 어떠셨나요?,product_info,llm
**다이렉트 커뮤니케이션** 비대면 챗봇 보험 상담의 효율성과 개선점은 무엇일까요?,product_info,llm
**원격 모니터링** 원격 건강 체크 기능 탑재 보험 상품의 사례와 장단점은 뭔가요?,product_info,llm
**디지털 인증서** 디지털 보험증서 발급 및 이의 보관 방법은 어떻게 될까요?,product_info,llm
**핀셋 혜택** 저가형 보험 상품이 주는 **필수 보장 범위와 선택적 추가 보장 옵션**은 뭘가요?,product_info,llm
**컴팩트 케어** 모바일 앱을 통한 보험 정보 검색 기능의 최적화 정도는 어떻게 평가하나요?,product_info,llm
**스마트 패키지** 복합 보험 상품의 설계 시 고려해야 할 핵심 요인은 무엇인가요?,product_info,llm
**인터랙티브 플랫폼** AI 챗봇 내에서 사용자 피드백 반영 방식은 어떻게 이루어지나요?,product_info,llm
**간편한 가입 프로세스** 신규 고객 유치를 위한 간편 가입 절차의 세부 사항은 어떻게 되나요?,product_info,llm
**세밀한 커버리지** 고가 보험 상품의 세밀한 보장 범위 분석 가이드는 제공되나요?,product_info,llm
**유연한 납입 옵션** 유연한 월 납입 금액 조절 옵션이 있는 종신보험 사례는 있나요?,product_info,llm
**실시간 피드백 시스템** 챗봇 내 실시간 고객 설문 조사 및 피드백 처리 방식은 어떻게 되나요?,product_info,llm
**모듈식 구조** 다목적 모듈을 활용한 보험 상품 구성 방식에 대한 이해는 어떻게 되나요?,product_info,llm
**모바일 앱 확장성** 앱 내 추가 기능 도입 계획과 사용자 친화적 인터페이스 설계 방향은 어떻게 이루어지나요?,product_info,llm
**지속 가능성** 환경 친화적 보험 상품 디자인 트렌드와 이점은 뭔가요?,product_info,llm
**보험 상품 테스트베드** 신제품 출시 전 테스트 모드 기능과 결과 공유 방식은 어떻게 되나요?,product_info,llm
**사용자 중심 디자인** 챗봇 인터페이스 개선을 위한 지속적인 사용자 피드백 수집 전략은 어떻게 구성되어 있나요?,product_info,llm
**글로벌 파트너십** 다국적 협업 프로젝트에서 보험 상품 개발 및 마케팅에 미치는 영향은 어떻게 보시나요?,product_info,llm
**보험료 적정성 평가 툴** 자동화 도구를 활용한 보험료 적정성 분석 방법은 어떻게 이루어질까요?,product_info,llm
**개인 정보 보호 강화 노력** 데이터 보안 강화 프로젝트의 구체적 진행 상황은 어떠신가요?,product_info,llm
**다양성 포용성 정책** 다양한 배경의 고객을 위한 맞춤형 보험 상품 개발 노력은 어떻게 이루어지나요?,product_info,llm
**고객 참여형 설문조사** 챗봇을 통한 고객 만족도 조사와 피드백 활용 방안은 어떻게 진행되나요?,product_info,llm
**AI 기반 예측 분석** 챗봇 내 AI가 고객 행동 예측 모델을 어떻게 구현하고 활용하나요?,product_info,llm
**챗봇 업그레이드 로드맵** 향후 챗봇 기능 개선 및 새로운 서비스 도입 계획은 어떻게 되나요?,product_info,llm
"**간단한 용어 정의**:  ""자기부담율이란 무엇인가요?""",general_qa,llm
"**보험 상품 구분 질문**: ""자동차 보험에서 '대물배상'의 의미는 무엇일까요?""",general_qa,llm
"**개념 이해 질문**: ""보험금 청구 과정에서 가장 중요한 절차는 무엇인가요?""",general_qa,llm
"**계약 종류별 비교**: ""생명보험 중 정액형과 종신형의 차이점을 간단히 설명해 주세요.""",general_qa,llm
"**특별 혜택 문의**: ""해지 시 일부 금액 환급이 가능한 경우 어떤 보험상품인지 알려주세요.""",general_qa,llm
"**위험 관리 옵션**: ""재해보험 가입 시 주의해야 할 주요 위험 요소들은 무엇인가요?""",general_qa,llm
"**(유연성 있는 표현)**: ""보험료 부담을 줄이기 위한 방법에는 어떤 것들이 있나요?""",general_qa,llm
"**약관 이해 도움**: ""보험 계약 해지 시 약관에 명시된 조기 해지 수수료에 대해 자세히 알려주실 수 있나요?""",general_qa,llm
"**비교적 복잡한 상황**: ""건강검진 결과 특정 질환 진단 후 보험금 지급 여부를 판단하는 기준은 무엇인가요?""",general_qa,llm
"**미래 지향 질문**: ""장기간 보험 가입 시 금융 계획과 어떻게 연계해야 할까요?""",general_qa,llm
"**정책 정보 탐색**: ""정부 지원 정책이 적용되는 보장 항목은 어떤 것들이 있나요?""",general_qa,llm
"**(논리적 추론 유도)**: ""의료비 청구에서 본인부담금보다 보험금이 더 많이 나올 때 보험사가 어떻게 대응하나요?""",general_qa,llm
"**(기술적 측면 포함)**: ""모바일 앱을 통한 실시간 보험 상태 확인 방법은 무엇인가요?""",general_qa,llm
"**보장 범위 질문**: ""암보험에서 주로 제외되는 치료 방법들은 무엇인가요?""",general_qa,llm
"**(고객 행동 유도 질문)**: ""본인 건강 상태를 주기적으로 점검하여 잠재적 위험을 미리 준비하시는 게 좋다고 느꼈다면 이유를 설명해 보세요.""",general_qa,llm
"**복잡한 조건 분석**: ""복합 질병 보장 보험에서 여러 병이 동시에 발생했을 때 보장 범위가 어떻게 결정되는지 궁금합니다.""",general_qa,llm
"**(실용적 조언 포함)**: ""건강 유지 및 보험료 절감 전략을 세우려면 어떤 습관들이 중요할까요?""",general_qa,llm
"**규정 준수 촉구**: ""보험 가입자가 계약 체결 후 즉시 신고해야 하는 사항들은 무엇인가요?""",general_qa,llm
"**(예측적 질문)**: ""향후 AI 기반 의료 서비스 도입 시 보험 상품 구조 변화 가능성이 있을까요?""",general_qa,llm
"**(정보 공유 유도 질문)**: ""다른 고객들의 성공적인 보험 관리 사례를 들어 주실 수 있을까요?""",general_qa,llm
"**세부 조항 이해 돕기**: ""보험 계약서의 특별약관 부분에서 자주 등장하는 '중대한 질병' 정의를 명확히 알려주세요.""",general_qa,llm
"**(위험 평가 유도)**: ""생활 패턴이나 직업 선택이 장기 보험 가입에 미치는 영향을 설명해 주시겠어요?""",general_qa,llm
"**(대화 형태 유지)**: ""최근 보험 시장 트렌드 중에서 특히 주목할 만한 변화는 무엇이라 생각하시나요?""",general_qa,llm
"**(안전 관련 질문)**: ""화재보험에서 소방시설 설치 의무화에 따른 보장 강화 효과는 무엇인가요?""",general_qa,llm
"**(고객 참여 유도)**: ""보험 상담 시간 외에도 보험료 납부 시기나 자동 이체 설정과 같은 개인 설정에 대해 추천해 주실 수 있나요?""",general_qa,llm
"**(환경 변화 고려)**: ""기후 변화 추세가 보험 보장 범위나 보험료 산정에 미칠 수 있는 영향은 무엇일까요?""",general_qa,llm
"**(사용자 맞춤형 조언)**: ""가족 구성원 간 건강 상태에 따라 맞춤형 보험 포트폴리오 구성 방법은 어떤 것이 좋을까요?""",general_qa,llm
"**(법률적 이해 돕기)**: ""보험 계약 해지 시 법률적 제재나 책임 소재에 대해 간략히 설명해 주십시오.""",general_qa,llm
"**(경제적 영향 고려)**: ""장기간 보험 가입 시 경제 전망 변화에 대비한 보험 전략은 어떻게 수립해야 하나요?""",general_qa,llm
"**(사회적 책임 강조 질문)**: ""보험 산업의 사회적 책임 활동으로 대표적인 예시는 무엇이며 이를 통해 소비자에게 어떤 이익이 돌아가나요?""",general_qa,llm
"**(개인화된 시나리오 제시)**: ""자녀 양육 중인 가정에서 필수적으로 고려해야 하는 특수 보험 상품은 무엇인가요?""",general_qa,llm
"**(전문가 의견 참조)**: ""업계 전문가들 사이에서 최근 주목받고 있는 새로운 보험 기술은 무엇인가요?""",general_qa,llm
"**(비용 효율성 질문)**: ""보험료 예산 내에서 최대한 많은 보호를 받으려면 어떤 상품을 선택해야 할까요?""",general_qa,llm
"**(데이터 보안 질문)**: ""온라인 상담 시 개인정보 보호를 위해 보험사는 어떤 조치를 취하고 있나요?""",general_qa,llm
"**(비교 분석 유도)**: ""외국계 보험사의 국내 진출 현황과 그들이 제공하는 특징적인 상품 비교는 어떻게 되나요?""",general_qa,llm
"**(미래 예측 통합)**: ""기술 발전과 보험 산업의 융합으로 예상되는 미래 보험 모델은 무엇인가요?""",general_qa,llm
"**(세액공제 활용 조언)**: ""보험 가입 시 세액공제를 최대한 활용하기 위한 팁은 무엇인가요?""",general_qa,llm
"**(리스크 관리 전략)**: ""재정 불안정 시 대체적인 위험 분산 전략으로 보험이 어떻게 기여할 수 있을까요?""",general_qa,llm
"**(공동 구매 정보)**: ""그룹 할인 프로그램이 있는 보험 상품들은 어떤 장점이 있나요?""",general_qa,llm
